"","city","xmin","ymin","xmax","ymax"
"1","Toronto",-79.6392727,43.5802533,-79.1132193,43.8554425
"2","Montréal",-73.9958013,45.3984821,-73.4742952,45.7047897
"3","Calgary",-114.3157587,50.842526,-113.8600018,51.2125013
"4","Ottawa",-76.3555857,44.9617738,-75.2465783,45.5376502
"5","Edmonton",-113.7138411,53.3372558,-113.2714783,53.7162646
"6","Mississauga",-79.8103184,43.4789901,-79.5398964,43.7370604
"7","Winnipeg",-97.3491505,49.7135538,-96.9565293,49.9940075
"8","Vancouver",-123.2249611,49.1984452,-123.0232419,49.3161714
"9","Brampton",-79.8888473,43.6018018,-79.6302939,43.8480959
"10","Hamilton",-80.2485579,43.0505073,-79.6222152,43.4706805
"11","Quebec",-71.5492175,46.7277099,-71.1336606,46.9806797
"12","Surrey",-122.957166,49.0020767,-122.679109,49.220825
"13","Laval",-73.8953597,45.5109049,-73.5235036,45.7007485
"14","Halifax",-63.7226577,44.581167,-63.5431999,44.7112114
"15","London",-81.3906556,42.824599,-81.1070784,43.0730461
"16","Markham",-79.428729,43.7980391,-79.1702406,43.9625146
"17","Vaughan",-79.7106948,43.7498495,-79.4200471,43.9243537
"18","Gatineau",-75.9083514,45.372383,-75.344372,45.5991239
"19","Saskatoon",-106.8249655,52.0697966,-106.503699,52.2311425
"20","Longueuil",-73.5306573,45.4329827,-73.3389814,45.588617
