city,province,weather station 
Toronto,Ontario,
Montreal,Quebec,
Vancouver ,British Columbia,
Calgary,Alberta,
Ottawa - Gatineau,Ontario-Quebec,
Edmonton,Alberta,
Quebec,Quebec,
Winnipeg,Manitoba,
Hamilton,Ontario,
Kitchener - Cambridge - Waterloo London,Ontario,
St. Catharines - Niagara,Ontario,
Halifax,Nova Scotia,
Oshawa,Ontario,
Victoria,British Columbi,
Windsor,Ontario,
Saskatoon,Saskatchewan,
Regina,Saskatchewan,
Sherbrooke ,Quebec,
St. John's,Newfoundland and Labrador,
