"scientific_name","quality_grade","year","freq","percent_freq","totalfreq","quarantine"
"1","Accipiter cooperii","casual",2016,1,0.2,5,"no"
"2","Agelaius phoeniceus","casual",2016,10,0.263157894736842,38,"no"
"3","Aix sponsa","casual",2016,1,0.0526315789473684,19,"no"
"4","Anas platyrhynchos","casual",2016,11,0.44,25,"no"
"5","Aythya collaris","casual",2016,1,0.2,5,"no"
"6","Aythya marila","casual",2016,3,0.6,5,"no"
"7","Aythya valisineria","casual",2016,1,1,1,"no"
"8","Branta canadensis","casual",2016,9,0.36,25,"no"
"9","Bucephala albeola","casual",2016,4,0.285714285714286,14,"no"
"10","Bucephala clangula","casual",2016,2,0.222222222222222,9,"no"
"11","Calidris alpina","casual",2016,1,1,1,"no"
"12","Cardinalis cardinalis","casual",2016,5,0.333333333333333,15,"no"
"13","Cathartes aura","casual",2016,4,0.8,5,"no"
"14","Catharus guttatus","casual",2016,2,0.285714285714286,7,"no"
"15","Certhia americana","casual",2016,1,0.1,10,"no"
"16","Charadrius vociferus","casual",2016,6,0.6,10,"no"
"17","Chroicocephalus philadelphia","casual",2016,1,0.5,2,"no"
"18","Clangula hyemalis","casual",2016,2,0.2,10,"no"
"19","Colaptes auratus","casual",2016,1,0.125,8,"no"
"20","Columba livia","casual",2016,4,0.666666666666667,6,"no"
"21","Corvus brachyrhynchos","casual",2016,6,0.6,10,"no"
"22","Cyanocitta cristata","casual",2016,1,0.25,4,"no"
"23","Cygnus olor","casual",2016,5,0.555555555555556,9,"no"
"24","Dryobates pubescens","casual",2016,4,0.2,20,"no"
"25","Dryobates villosus","casual",2016,1,0.125,8,"no"
"26","Eremophila alpestris","casual",2016,2,1,2,"no"
"27","Euphagus carolinus","casual",2016,1,0.5,2,"no"
"28","Falco columbarius","casual",2016,1,0.25,4,"no"
"29","Gallinago delicata","casual",2016,1,0.166666666666667,6,"no"
"30","Gavia immer","casual",2016,1,0.125,8,"no"
"31","Haemorhous mexicanus","casual",2016,1,0.166666666666667,6,"no"
"32","Helmitheros vermivorum","casual",2016,1,1,1,"no"
"33","Hirundo rustica","casual",2016,1,0.5,2,"no"
"34","Junco hyemalis","casual",2016,3,0.214285714285714,14,"no"
"35","Lagopus lagopus","casual",2016,1,1,1,"no"
"36","Larus argentatus","casual",2016,3,0.6,5,"no"
"37","Larus delawarensis","casual",2016,11,0.578947368421053,19,"no"
"38","Larus glaucoides","casual",2016,1,1,1,"no"
"39","Mareca strepera","casual",2016,2,0.222222222222222,9,"no"
"40","Melanitta deglandi","casual",2016,4,0.8,5,"no"
"41","Melospiza melodia","casual",2016,9,0.45,20,"no"
"42","Mergus merganser","casual",2016,1,0.166666666666667,6,"no"
"43","Mergus serrator","casual",2016,4,0.4,10,"no"
"44","Molothrus ater","casual",2016,1,0.2,5,"no"
"45","Passer domesticus","casual",2016,7,0.466666666666667,15,"no"
"46","Phalacrocorax auritus","casual",2016,6,0.5,12,"no"
"47","Podiceps auritus","casual",2016,1,0.166666666666667,6,"no"
"48","Podiceps grisegena","casual",2016,2,0.285714285714286,7,"no"
"49","Podilymbus podiceps","casual",2016,1,0.333333333333333,3,"no"
"50","Poecile atricapillus","casual",2016,7,0.35,20,"no"
"51","Quiscalus quiscula","casual",2016,5,0.416666666666667,12,"no"
"52","Regulus calendula","casual",2016,1,0.25,4,"no"
"53","Regulus satrapa","casual",2016,3,0.3,10,"no"
"54","Sayornis phoebe","casual",2016,2,0.285714285714286,7,"no"
"55","Sitta carolinensis","casual",2016,1,0.111111111111111,9,"no"
"56","Sphyrapicus varius","casual",2016,1,0.111111111111111,9,"no"
"57","Spinus pinus","casual",2016,1,0.0588235294117647,17,"no"
"58","Spinus tristis","casual",2016,5,0.227272727272727,22,"no"
"59","Spizella passerina","casual",2016,1,0.25,4,"no"
"60","Spizelloides arborea","casual",2016,1,0.0769230769230769,13,"no"
"61","Sturnus vulgaris","casual",2016,4,0.5,8,"no"
"62","Tachycineta bicolor","casual",2016,2,0.166666666666667,12,"no"
"63","Tringa flavipes","casual",2016,1,1,1,"no"
"64","Tringa solitaria","casual",2016,1,1,1,"no"
"65","Troglodytes hiemalis","casual",2016,1,0.2,5,"no"
"66","Turdus migratorius","casual",2016,8,0.5,16,"no"
"67","Zenaida macroura","casual",2016,6,0.6,10,"no"
"68","Zonotrichia albicollis","casual",2016,1,0.2,5,"no"
"69","Anatidae","needs_id",2016,1,1,1,"no"
"70","Larinae","needs_id",2016,1,1,1,"no"
"71","Passeriformes","needs_id",2016,1,1,1,"no"
"72","Phalacrocorax","needs_id",2016,1,1,1,"no"
"73","Sphyrapicus","needs_id",2016,1,1,1,"no"
"74","Acanthis flammea","research",2016,15,1,15,"no"
"75","Accipiter cooperii","research",2016,4,0.8,5,"no"
"76","Accipiter striatus","research",2016,1,1,1,"no"
"77","Aechmophorus occidentalis","research",2016,8,1,8,"no"
"78","Aegolius acadicus","research",2016,1,1,1,"no"
"79","Agelaius phoeniceus","research",2016,28,0.736842105263158,38,"no"
"80","Aix sponsa","research",2016,18,0.947368421052632,19,"no"
"81","Anas acuta","research",2016,3,1,3,"no"
"82","Anas crecca","research",2016,3,1,3,"no"
"83","Anas platyrhynchos","research",2016,14,0.56,25,"no"
"84","Anas platyrhynchos × acuta","research",2016,2,1,2,"no"
"85","Anas platyrhynchos × Mareca americana","research",2016,2,1,2,"no"
"86","Anas rubripes","research",2016,2,1,2,"no"
"87","Anas rubripes × platyrhynchos","research",2016,1,1,1,"no"
"88","Anser albifrons","research",2016,1,1,1,"no"
"89","Anser anser × Branta canadensis","research",2016,1,1,1,"no"
"90","Aquila chrysaetos","research",2016,1,1,1,"no"
"91","Ardea alba","research",2016,2,1,2,"no"
"92","Ardea herodias","research",2016,4,1,4,"no"
"93","Asio otus","research",2016,2,1,2,"no"
"94","Aythya americana","research",2016,3,1,3,"no"
"95","Aythya collaris","research",2016,4,0.8,5,"no"
"96","Aythya marila","research",2016,2,0.4,5,"no"
"97","Baeolophus bicolor","research",2016,3,1,3,"no"
"98","Bombycilla cedrorum","research",2016,4,1,4,"no"
"99","Bombycilla garrulus","research",2016,4,1,4,"no"
"100","Branta canadensis","research",2016,16,0.64,25,"no"
"101","Bubo scandiacus","research",2016,2,1,2,"no"
"102","Bubo virginianus","research",2016,5,1,5,"no"
"103","Bucephala albeola","research",2016,10,0.714285714285714,14,"no"
"104","Bucephala clangula","research",2016,7,0.777777777777778,9,"no"
"105","Bucephala islandica","research",2016,6,1,6,"no"
"106","Buteo jamaicensis","research",2016,3,1,3,"no"
"107","Buteo lineatus","research",2016,1,1,1,"no"
"108","Butorides virescens","research",2016,1,1,1,"no"
"109","Calypte anna","research",2016,2,1,2,"no"
"110","Cardinalis cardinalis","research",2016,10,0.666666666666667,15,"no"
"111","Cathartes aura","research",2016,1,0.2,5,"no"
"112","Catharus guttatus","research",2016,5,0.714285714285714,7,"no"
"113","Cepphus columba","research",2016,1,1,1,"no"
"114","Certhia americana","research",2016,9,0.9,10,"no"
"115","Charadrius vociferus","research",2016,4,0.4,10,"no"
"116","Chroicocephalus philadelphia","research",2016,1,0.5,2,"no"
"117","Chroicocephalus ridibundus","research",2016,1,1,1,"no"
"118","Circus hudsonius","research",2016,1,1,1,"no"
"119","Clangula hyemalis","research",2016,8,0.8,10,"no"
"120","Colaptes auratus","research",2016,7,0.875,8,"no"
"121","Columba livia","research",2016,2,0.333333333333333,6,"no"
"122","Corvus brachyrhynchos","research",2016,4,0.4,10,"no"
"123","Corvus caurinus","research",2016,2,1,2,"no"
"124","Corvus corax","research",2016,1,1,1,"no"
"125","Cyanocitta cristata","research",2016,3,0.75,4,"no"
"126","Cyanocitta stelleri","research",2016,2,1,2,"no"
"127","Cygnus buccinator","research",2016,5,1,5,"no"
"128","Cygnus columbianus","research",2016,1,1,1,"no"
"129","Cygnus olor","research",2016,4,0.444444444444444,9,"no"
"130","Dryobates pubescens","research",2016,16,0.8,20,"no"
"131","Dryobates villosus","research",2016,7,0.875,8,"no"
"132","Dryocopus pileatus","research",2016,4,1,4,"no"
"133","Dumetella carolinensis","research",2016,2,1,2,"no"
"134","Euphagus carolinus","research",2016,1,0.5,2,"no"
"135","Falco columbarius","research",2016,3,0.75,4,"no"
"136","Falco peregrinus","research",2016,3,1,3,"no"
"137","Falco sparverius","research",2016,1,1,1,"no"
"138","Fulica americana","research",2016,1,1,1,"no"
"139","Gallinago delicata","research",2016,5,0.833333333333333,6,"no"
"140","Gavia immer","research",2016,7,0.875,8,"no"
"141","Haematopus bachmani","research",2016,1,1,1,"no"
"142","Haemorhous mexicanus","research",2016,5,0.833333333333333,6,"no"
"143","Haemorhous purpureus","research",2016,6,1,6,"no"
"144","Haliaeetus leucocephalus","research",2016,5,1,5,"no"
"145","Hirundo rustica","research",2016,1,0.5,2,"no"
"146","Histrionicus histrionicus","research",2016,5,1,5,"no"
"147","Hydrocoloeus minutus","research",2016,1,1,1,"no"
"148","Hydroprogne caspia","research",2016,3,1,3,"no"
"149","Ixoreus naevius","research",2016,1,1,1,"no"
"150","Junco hyemalis","research",2016,11,0.785714285714286,14,"no"
"151","Lanius borealis","research",2016,1,1,1,"no"
"152","Larus argentatus","research",2016,2,0.4,5,"no"
"153","Larus canus","research",2016,1,1,1,"no"
"154","Larus delawarensis","research",2016,8,0.421052631578947,19,"no"
"155","Larus fuscus","research",2016,1,1,1,"no"
"156","Larus glaucescens","research",2016,3,1,3,"no"
"157","Lophodytes cucullatus","research",2016,2,1,2,"no"
