"Geographic code","Geographic name, english","Geographic name, french","Geographic type, english","Geographic type, french","Province / territory, english","Province / territory, french","Geographic code, Province / territory","Additional province code","Population, 2016","Incompletely enumerated Indian reserves and Indian settlements, 2016","Population, 2011","2011 adjusted population flag","Incompletely enumerated Indian reserves and Indian settlements, 2011","Population, % change","Total private dwellings, 2016","Total private dwellings, 2011","2011 adjusted total private dwellings flag","Total private dwellings, % change","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents, 2011","2011 adjusted private dwellings occupied by usual residents flag","Private dwellings occupied by usual residents, % change","Land area in square kilometres, 2016","Population density per square kilometre, 2016","National population rank, 2016","Provincial/territorial population rank, 2016"
"001","St. John's","St. John's","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,205955,F,196954,T,F,4.6,92353,84533,T,9.3,85015,78954,T,7.7,804.79,255.9,20,1
"005","Bay Roberts","Bay Roberts","Census agglomeration (CA)","Agglomération de recensement (AR)","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,11083,F,10871,F,F,2.0,4956,4601,F,7.7,4501,4218,F,6.7,103.66,106.9,150,5
"010","Grand Falls-Windsor","Grand Falls-Windsor","Census agglomeration (CA)","Agglomération de recensement (AR)","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,14171,F,13725,F,F,3.2,6406,6134,F,4.4,6091,5723,F,6.4,54.67,259.2,133,3
"011","Gander","Gander","Census agglomeration (CA)","Agglomération de recensement (AR)","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,13234,F,12683,T,F,4.3,6406,6008,T,6.6,5542,5191,T,6.8,2427.35,5.5,142,4
"015","Corner Brook","Corner Brook","Census agglomeration (CA)","Agglomération de recensement (AR)","Newfoundland and Labrador","Terre-Neuve-et-Labrador",10,,31917,F,31417,T,F,1.6,14927,13842,T,7.8,13618,12787,T,6.5,1140.20,28.0,83,2
"105","Charlottetown","Charlottetown","Census agglomeration (CA)","Agglomération de recensement (AR)","Prince Edward Island","Île-du-Prince-Édouard",11,,69325,F,65523,T,F,5.8,32021,29357,T,9.1,28948,26592,T,8.9,917.47,75.6,52,1
"110","Summerside","Summerside","Census agglomeration (CA)","Agglomération de recensement (AR)","Prince Edward Island","Île-du-Prince-Édouard",11,,16587,F,16488,F,F,0.6,7698,7323,F,5.1,7219,6941,F,4.0,92.43,179.5,123,2
"205","Halifax","Halifax","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","Nova Scotia","Nouvelle-Écosse",12,,403390,F,390328,F,F,3.3,187478,177295,F,5.7,173459,165153,F,5.0,5496.31,73.4,13,1
"210","Kentville","Kentville","Census agglomeration (CA)","Agglomération de recensement (AR)","Nova Scotia","Nouvelle-Écosse",12,,26222,F,26359,F,F,-0.5,12275,11941,F,2.8,11370,11123,F,2.2,609.73,43.0,100,5
"215","Truro","Truro","Census agglomeration (CA)","Agglomération de recensement (AR)","Nova Scotia","Nouvelle-Écosse",12,,45753,F,45888,F,F,-0.3,22478,21708,F,3.5,20095,19492,F,3.1,2733.13,16.7,65,3
"220","New Glasgow","New Glasgow","Census agglomeration (CA)","Agglomération de recensement (AR)","Nova Scotia","Nouvelle-Écosse",12,,34487,F,35809,F,F,-3.7,17035,16788,F,1.5,15132,15256,F,-0.8,2067.03,16.7,79,4
"225","Cape Breton","Cape Breton","Census agglomeration (CA)","Agglomération de recensement (AR)","Nova Scotia","Nouvelle-Écosse",12,,98722,F,101619,F,F,-2.9,47205,46632,F,1.2,43081,42325,F,1.8,2467.74,40.0,42,2
"305","Moncton","Moncton","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","New Brunswick","Nouveau-Brunswick",13,,144810,F,139287,T,F,4.0,66699,62725,T,6.3,61769,58572,T,5.5,2559.05,56.6,29,1
"310","Saint John","Saint John","Census metropolitan area (CMA)","Région métropolitaine de recensement (RMR)","New Brunswick","Nouveau-Brunswick",13,,126202,F,129057,T,F,-2.2,58398,57277,T,2.0,52872,52769,T,0.2,3509.62,36.0,31,2
